ms=51302 od=79.62 cd=79.62 mind=79.50 maxd=79.79 dh=79.62,79.60,79.60,79.62,79.62,79.60,79.70,79.62,79.61,79.68,80.05,80.05,79.68,79.67,79.67,79.67, sh=79.62,79.60,79.60,79.62,79.62,79.60,79.70,79.62,79.61,79.68,80.05,80.05,79.68,79.67,79.67,79.67,
ms=51867 od=79.60 cd=79.60 mind=79.48 maxd=79.80 dh=79.60,79.62,79.60,79.60,79.62,79.62,79.60,79.70,79.62,79.61,79.68,80.05,80.05,79.68,79.67,79.67, sh=79.60,79.62,79.60,79.60,79.62,79.62,79.60,79.70,79.62,79.61,79.68,80.05,80.05,79.68,79.67,79.67,
ms=52470 od=79.62 cd=79.62 mind=79.48 maxd=79.80 dh=79.62,79.60,79.62,79.60,79.60,79.62,79.62,79.60,79.70,79.62,79.61,79.68,80.05,80.05,79.68,79.67, sh=79.62,79.60,79.62,79.60,79.60,79.62,79.62,79.60,79.70,79.62,79.61,79.68,80.05,80.05,79.68,79.67,
ms=53033 od=55.66 cd=79.47 mind=79.47 maxd=79.81 dh=55.66,79.62,79.60,79.62,79.60,79.60,79.62,79.62,79.60,79.70,79.62,79.61,79.68,80.05,80.05,79.68, sh=55.66,79.62,79.60,79.62,79.60,79.60,79.62,79.62,79.60,79.70,79.62,79.61,79.68,80.05,80.05,79.68,
ms=53596 od=79.58 cd=79.58 mind=79.52 maxd=79.73 dh=79.58,55.66,79.62,79.60,79.62,79.60,79.60,79.62,79.62,79.60,79.70,79.62,79.61,79.68,80.05,80.05, sh=79.58,55.66,79.62,79.60,79.62,79.60,79.60,79.62,79.62,79.60,79.70,79.62,79.61,79.68,80.05,80.05,
ms=54161 od=79.58 cd=79.58 mind=79.57 maxd=79.64 dh=79.58,79.58,55.66,79.62,79.60,79.62,79.60,79.60,79.62,79.62,79.60,79.70,79.62,79.61,79.68,80.05, sh=79.58,79.58,55.66,79.62,79.60,79.62,79.60,79.60,79.62,79.62,79.60,79.70,79.62,79.61,79.68,80.05,
ms=54724 od=79.58 cd=79.58 mind=79.55 maxd=79.65 dh=79.58,79.58,79.58,55.66,79.62,79.60,79.62,79.60,79.60,79.62,79.62,79.60,79.70,79.62,79.61,79.68, sh=79.58,79.58,79.58,55.66,79.62,79.60,79.62,79.60,79.60,79.62,79.62,79.60,79.70,79.62,79.61,79.68,
ms=55287 od=79.60 cd=79.60 mind=79.55 maxd=79.65 dh=79.60,79.58,79.58,79.58,55.66,79.62,79.60,79.62,79.60,79.60,79.62,79.62,79.60,79.70,79.62,79.61, sh=79.60,79.58,79.58,79.58,55.66,79.62,79.60,79.62,79.60,79.60,79.62,79.62,79.60,79.70,79.62,79.61,
ms=55850 od=79.60 cd=79.60 mind=79.55 maxd=79.65 dh=79.60,79.60,79.58,79.58,79.58,55.66,79.62,79.60,79.62,79.60,79.60,79.62,79.62,79.60,79.70,79.62, sh=79.60,79.60,79.58,79.58,79.58,55.66,79.62,79.60,79.62,79.60,79.60,79.62,79.62,79.60,79.70,79.62,
ms=56422 od=79.60 cd=79.60 mind=79.55 maxd=79.65 dh=79.60,79.60,79.60,79.58,79.58,79.58,55.66,79.62,79.60,79.62,79.60,79.60,79.62,79.62,79.60,79.70, sh=79.60,79.60,79.60,79.58,79.58,79.58,55.66,79.62,79.60,79.62,79.60,79.60,79.62,79.62,79.60,79.70,
ms=56986 od=79.60 cd=79.60 mind=79.57 maxd=79.63 dh=79.60,79.60,79.60,79.60,79.58,79.58,79.58,55.66,79.62,79.60,79.62,79.60,79.60,79.62,79.62,79.60, sh=79.60,79.60,79.60,79.60,79.58,79.58,79.58,55.66,79.62,79.60,79.62,79.60,79.60,79.62,79.62,79.60,
ms=57556 od=79.58 cd=79.58 mind=79.54 maxd=79.65 dh=79.58,79.60,79.60,79.60,79.60,79.58,79.58,79.58,55.66,79.62,79.60,79.62,79.60,79.60,79.62,79.62, sh=79.58,79.60,79.60,79.60,79.60,79.58,79.58,79.58,55.66,79.62,79.60,79.62,79.60,79.60,79.62,79.62,
ms=58120 od=79.60 cd=79.60 mind=79.56 maxd=79.62 dh=79.60,79.58,79.60,79.60,79.60,79.60,79.58,79.58,79.58,55.66,79.62,79.60,79.62,79.60,79.60,79.62, sh=79.60,79.58,79.60,79.60,79.60,79.60,79.58,79.58,79.58,55.66,79.62,79.60,79.62,79.60,79.60,79.62,
ms=58685 od=79.60 cd=79.60 mind=79.56 maxd=79.62 dh=79.60,79.60,79.58,79.60,79.60,79.60,79.60,79.58,79.58,79.58,55.66,79.62,79.60,79.62,79.60,79.60, sh=79.60,79.60,79.58,79.60,79.60,79.60,79.60,79.58,79.58,79.58,55.66,79.62,79.60,79.62,79.60,79.60,
